date,Voltage,ChargeCapacity
6/23/2018 4:03,3.876602173,1.048235297
6/23/2018 4:05,4.200080872,0.013149976
6/23/2018 4:07,4.319109917,0.121578179
6/23/2018 4:09,4.360198021,0.230249688
6/23/2018 4:11,4.399977684,0.338078529
6/23/2018 4:13,4.399982452,0.431419313
6/23/2018 4:15,4.400026321,0.508652508
6/23/2018 4:17,4.399964333,0.573943019
6/23/2018 4:19,4.399961472,0.630581677
6/23/2018 4:21,4.400068283,0.68085587
6/23/2018 4:23,4.400022507,0.726397812
6/23/2018 4:25,4.400003433,0.768207133
6/23/2018 4:27,4.400084496,0.806908011
6/23/2018 4:29,4.399958611,0.842912674
6/23/2018 4:31,4.399980545,0.876500785
6/23/2018 4:33,4.399996758,0.907820642
6/23/2018 4:35,4.400012016,0.937072694
6/23/2018 4:37,4.399977684,0.964477539
6/23/2018 4:39,4.399964333,0.990261078
6/23/2018 4:41,4.400008202,1.014561057
6/23/2018 4:43,4.399959564,1.037502646
6/23/2018 4:45,4.400014877,1.047705054
6/23/2018 4:47,4.267248154,1.047705412
6/23/2018 4:49,4.253967285,1.047705412
6/23/2018 4:51,4.250688553,1.047705412
6/23/2018 4:53,3.325669289,1.047705412
6/23/2018 4:55,3.252696991,1.047705412
6/23/2018 4:57,3.172250748,1.047705412
6/23/2018 4:59,3.088562965,1.047705412
6/23/2018 5:01,2.999997139,1.047705412
6/23/2018 5:03,3.851198196,1.047705412
6/23/2018 5:05,3.870500565,1.047705412
6/23/2018 5:07,3.874754906,1.047705412
6/23/2018 5:09,4.200055122,0.013779159
6/23/2018 5:11,4.317077637,0.122187965
6/23/2018 5:13,4.356523514,0.230850637
6/23/2018 5:15,4.400009155,0.339056134
6/23/2018 5:17,4.399999619,0.433786154
6/23/2018 5:19,4.399934769,0.512090266
6/23/2018 5:21,4.400017738,0.578212202
6/23/2018 5:23,4.399987221,0.635556281
6/23/2018 5:25,4.400016785,0.686372757
6/23/2018 5:27,4.400017738,0.732223749
6/23/2018 5:29,4.399989128,0.77428633
6/23/2018 5:31,4.399981499,0.813183963
6/23/2018 5:33,4.400036812,0.849352777
6/23/2018 5:35,4.400022507,0.883145511
6/23/2018 5:37,4.40003109,0.914780796
6/23/2018 5:39,4.399993896,0.944385707
6/23/2018 5:41,4.400039673,0.972106278
6/23/2018 5:43,4.399980545,0.998102248
6/23/2018 5:45,4.400010109,1.022548795
6/23/2018 5:47,4.399981499,1.045593381
6/23/2018 5:49,4.399983406,1.05686152
6/23/2018 5:51,4.267025948,1.056865215
6/23/2018 5:53,4.253811836,1.056865215
6/23/2018 5:55,4.25039959,1.056865215
6/23/2018 5:57,3.324069023,1.056865215
6/23/2018 5:59,3.251605034,1.056865215
6/23/2018 6:01,3.167136192,1.056865215
6/23/2018 6:03,3.084410667,1.056865215
6/23/2018 6:05,2.999977112,1.056865215
6/23/2018 6:07,3.85249424,1.056865215
6/23/2018 6:09,3.871603012,1.056865215
6/23/2018 6:11,3.875908852,1.056865215
6/23/2018 6:13,4.200065613,0.012797466
6/23/2018 6:15,4.319052696,0.121210158
6/23/2018 6:17,4.358193398,0.22988151
6/23/2018 6:19,4.400019646,0.337958902
6/23/2018 6:21,4.39999485,0.432238698
6/23/2018 6:23,4.399964333,0.510289252
6/23/2018 6:25,4.399999619,0.576120317
6/23/2018 6:27,4.400027275,0.633049548
6/23/2018 6:29,4.399950027,0.683442235
6/23/2018 6:31,4.399971962,0.728833139
6/23/2018 6:33,4.39997673,0.770316422
6/23/2018 6:35,4.400029182,0.808720171
6/23/2018 6:37,4.400015831,0.844561338
6/23/2018 6:39,4.399971962,0.878130436
6/23/2018 6:41,4.400054932,0.90963012
6/23/2018 6:43,4.400008202,0.939240456
6/23/2018 6:45,4.400026321,0.96702832
6/23/2018 6:47,4.399987221,0.993056178
6/23/2018 6:49,4.400028229,1.017474771
6/23/2018 6:51,4.399996758,1.040453315
6/23/2018 6:53,4.400017738,1.050792813
6/23/2018 6:55,4.266862869,1.05079484
6/23/2018 6:57,4.253528595,1.05079484
6/23/2018 6:59,4.250235558,1.05079484
6/23/2018 7:01,3.316549301,1.05079484
6/23/2018 7:03,3.24287796,1.05079484
6/23/2018 7:05,3.16146946,1.05079484
6/23/2018 7:07,3.076636314,1.05079484
6/23/2018 7:09,2.999986649,1.05079484
6/23/2018 7:11,3.855548859,1.05079484
6/23/2018 7:13,3.874549866,1.05079484
6/23/2018 7:15,3.878716469,1.05079484
6/23/2018 7:17,4.200055122,0.012242134
6/23/2018 7:19,4.319702148,0.120660782
6/23/2018 7:21,4.360466957,0.229318708
6/23/2018 7:23,4.399983406,0.337026417
6/23/2018 7:25,4.399998665,0.429942638
6/23/2018 7:27,4.399991035,0.506812811
6/23/2018 7:29,4.399924278,0.571826935
6/23/2018 7:31,4.400020599,0.62815696
6/23/2018 7:33,4.399980545,0.678002775
6/23/2018 7:35,4.400054932,0.722842395
6/23/2018 7:37,4.400003433,0.76374948
6/23/2018 7:39,4.400019646,0.801455975
6/23/2018 7:41,4.400004387,0.836540282
6/23/2018 7:43,4.399986267,0.869406581
6/23/2018 7:45,4.400020599,0.900287092
6/23/2018 7:47,4.399980545,0.929331303
6/23/2018 7:49,4.400010109,0.956696093
6/23/2018 7:51,4.399971962,0.982472658
6/23/2018 7:53,4.400020599,1.006701112
6/23/2018 7:55,4.400025368,1.029524922
6/23/2018 7:57,4.399999619,1.036780119
6/23/2018 7:59,4.267210007,1.036782622
6/23/2018 8:01,4.253958702,1.036782622
6/23/2018 8:03,4.250564575,1.036782622
6/23/2018 8:05,3.319124222,1.036782622
6/23/2018 8:07,3.243408203,1.036782622
6/23/2018 8:09,3.158250809,1.036782622
6/23/2018 8:11,3.072262764,1.036782622
6/23/2018 8:13,2.999997139,1.036782622
6/23/2018 8:15,3.857671738,1.036782622
6/23/2018 8:17,3.876578331,1.036782622
6/23/2018 8:19,3.880703926,1.036782622
6/23/2018 8:21,4.200105667,0.011928762
6/23/2018 8:23,4.317325592,0.120352194
6/23/2018 8:25,4.359205246,0.229010925
6/23/2018 8:27,4.400016785,0.336613774
6/23/2018 8:29,4.400011063,0.428795129
6/23/2018 8:31,4.399991989,0.504765272
6/23/2018 8:33,4.399975777,0.569099367
6/23/2018 8:35,4.399991035,0.625045002
6/23/2018 8:37,4.399969101,0.674830377
6/23/2018 8:39,4.400012016,0.719851792
6/23/2018 8:41,4.399997711,0.760923564
6/23/2018 8:43,4.40000248,0.79869765
6/23/2018 8:45,4.400051117,0.833653986
6/23/2018 8:47,4.400032043,0.866215408
6/23/2018 8:49,4.400044441,0.896724224
6/23/2018 8:51,4.40003109,0.925464988
6/23/2018 8:53,4.399973869,0.952511191
6/23/2018 8:55,4.400036812,0.978002429
6/23/2018 8:57,4.400009155,1.002051711
6/23/2018 8:59,4.400035858,1.0246737
6/23/2018 9:01,4.400029182,1.028342128
6/23/2018 9:03,4.268133163,1.028345466
6/23/2018 9:05,4.255098343,1.028345466
6/23/2018 9:07,4.251752853,1.028345466
6/23/2018 9:09,3.321527481,1.028345466
6/23/2018 9:11,3.245993614,1.028345466
6/23/2018 9:13,3.16136837,1.028345466
6/23/2018 9:15,3.074980736,1.028345466
6/23/2018 9:17,2.999998093,1.028345466
6/23/2018 9:19,3.85759449,1.028345466
6/23/2018 9:21,3.876455307,1.028345466
6/23/2018 9:23,3.880625725,1.028345466
6/23/2018 9:25,4.200078964,0.011328013
6/23/2018 9:27,4.319867134,0.119739026
6/23/2018 9:29,4.35908699,0.228402793
6/23/2018 9:31,4.400036812,0.336319715
6/23/2018 9:33,4.400001526,0.429588437
6/23/2018 9:35,4.400051117,0.506121099
6/23/2018 9:37,4.399972916,0.570304394
6/23/2018 9:39,4.400017738,0.625774443
6/23/2018 9:41,4.39993763,0.675067723
6/23/2018 9:43,4.400012016,0.719675243
6/23/2018 9:45,4.39999485,0.760517478
6/23/2018 9:47,4.399989128,0.798231602
6/23/2018 9:49,4.40004158,0.833182275
6/23/2018 9:51,4.399970055,0.865658939
6/23/2018 9:53,4.40000248,0.895956814
6/23/2018 9:55,4.400006294,0.924400389
6/23/2018 9:57,4.399987221,0.951249182
6/23/2018 9:59,4.400009155,0.976627409
6/23/2018 10:01,4.400017738,1.000617385
6/23/2018 10:03,4.399986267,1.023278832
6/23/2018 10:05,4.400012016,1.028383493
6/23/2018 10:07,4.268076897,1.028384686
6/23/2018 10:09,4.254981041,1.028384686
6/23/2018 10:11,4.251601219,1.028384686
6/23/2018 10:13,3.318639755,1.028384686
6/23/2018 10:15,3.242305756,1.028384686
6/23/2018 10:17,3.156938553,1.028384686
6/23/2018 10:19,3.069979668,1.028384686
6/23/2018 10:21,3,1.028384686
6/23/2018 10:23,3.860178947,1.028384686
6/23/2018 10:25,3.879098892,1.028384686
6/23/2018 10:27,3.883253098,1.028384686
6/23/2018 10:29,4.200108528,0.009406108
6/23/2018 10:31,4.326407433,0.117839426
